Datum,Thema,Bereich,Datenstand 
07.03.2019,Erwerbsleben,Arbeitslosigkeit,Feb 2019 
06.03.2019,"Raum, Landschaft, Umwelt",Witterungsdaten,Feb 2019 
05.03.2019,"Teuerung, Preise",Basler Index,Feb 2019 
05.03.2019,"Erwerbsleben",Beschäftigte,Q4 2018 
